RU;Band Size;Band Number;Code;Specie Name;Foraging strategy;Specie Code;Age;Age How1;Age How2;Sex;Sex How1;Sex How2;BP;CP;Fat;Body Molt;FF Molt;Wear;Ecto;Wing Chord;Weight;Total Tail;Longest Tail;Shortest tail (R1);Bill corrugated;Throat feathers;Exposed culmen;Width of R5;Date;Location;Session;Month;Year;Time;Net;Bander;Total culmen;Width culmen;Depth culmen;Tarsus;Leg aperture;Hallux;SL;R1;Tarsus Ring Size (Hummingbirds)
1;X;A52364;N;METALLURA TYRIANTHINA;Territorial;METY;Y;I;9;U;9;9;9;9;9;9;9;9;9;NA;NA;NA;NA;NA;80;NA;NA;NA;26-ago-08;MASE;Second;August;2008;6:30;5;PA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2;X;A52365;N;METALLURA TYRIANTHINA;Territorial;METY;A;P;I;M;P;9;9;9;9;9;9;9;9;NA;NA;NA;NA;NA;0;NA;NA;NA;26-ago-08;MASE;Second;August;2008;6:30;2;PA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3;X;A52366;N;METALLURA TYRIANTHINA;Territorial;METY;A;P;I;M;P;9;9;9;9;9;9;9;9;NA;NA;NA;NA;NA;0;NA;NA;NA;26-ago-08;MASE;Second;August;2008;6:30;1;PA;NA;NA;NA;NA;NA;NA;NA;NA;NA
4;X;A50125;N;ERIOCNEMIS LUCIANI;Territorial;ERLU;A;P;I;U;9;9;0;0;0;0;0;1;M;65;5.85;NA;NA;NA;0;NA;18.49;6.35;27-ago-08;MASE;Second;August;2008;7:30;16;DM;NA;NA;NA;NA;NA;NA;NA;NA;NA
5;X;A52367;N;METALLURA TYRIANTHINA;Territorial;METY;Y;P;I;U;9;9;0;0;0;1;0;1;0;51;3.4;NA;NA;NA;80;NA;NA;NA;27-ago-08;MASE;Second;August;2008;8:00;15;DM;NA;NA;NA;NA;NA;NA;NA;NA;NA
6;X;A52368;N;METALLURA TYRIANTHINA;Territorial;METY;Y;I;9;U;9;9;0;0;0;2;0;1;0;51;3.4;NA;NA;NA;90;NA;11.85;8.14;27-ago-08;MASE;Second;August;2008;8:00;20;DM;NA;NA;NA;NA;NA;NA;NA;NA;NA
7;X;A52369;N;ERIOCNEMIS VESTITA;Territorial;ERVE;A;P;I;M;P;9;0;0;0;2;0;1;M;60;4.65;NA;NA;NA;60;FULL;16.35;17.2;27-ago-08;MASE;Second;August;2008;8:30;20;PA;NA;NA;NA;NA;NA;NA;NA;NA;NA
8;X;A52370;N;METALLURA TYRIANTHINA;Territorial;METY;Y;I;9;U;9;9;0;0;0;2;0;1;0;50;3.8;NA;NA;NA;60;NA;13.65;17.58;27-ago-08;MASE;Second;August;2008;10:00;8;DM;NA;NA;NA;NA;NA;NA;NA;NA;NA
9;X;A52371;N;METALLURA TYRIANTHINA;Territorial;METY;A;I;P;M;P;9;0;0;0;1;0;1;0;54;4.6;NA;NA;NA;0;FULL;12.26;9.29;27-ago-08;MASE;Second;August;2008;10:30;19;DM;NA;NA;NA;NA;NA;NA;NA;NA;NA
37;RE;A50101;R;METALLURA TYRIANTHINA;Territorial;METY;A;P;I;F;P;9;9;9;9;9;9;9;9;NA;NA;NA;NA;NA;0;NA;NA;NA;26-ago-08;MASE;Second;August;2008;6:30;9;PA;NA;NA;NA;NA;NA;NA;NA;NA;NA
